X, P, T, M, alpha, eta, rhou_x, rho, P_tot, T_tot
0.00929431438127, 149191.601521, 304.675284112, 0.233567502855, 3.63730062916, 0.0602760597958, 139.091853563, 1.70583655319, 154889.596048, 308.00000191
0.010127090301, 148977.649962, 304.544622583, 0.238143367651, 4.41298091, 0.0413170863662, 141.477207136, 1.70412070947, 154893.527523, 307.999998292
0.0109598662207, 148782.995062, 304.420345169, 0.242462151504, 5.20217627922, 0.00645199714758, 143.753383069, 1.70258919161, 154906.257801, 307.999993599
0.0117926421405, 148575.941529, 304.308821969, 0.246236013985, 6.10116554175, 0.0382991038552, 145.552059348, 1.70084236959, 154883.317778, 307.999993011
0.0126254180602, 148369.505717, 304.201998901, 0.249825357037, 7.01005003709, 0.084616123464, 147.239047165, 1.69907587876, 154852.738045, 307.999993355
0.0134581939799, 148172.623139, 304.083391222, 0.253730107212, 8.04868033817, 0.0739469996244, 148.982628162, 1.69748297096, 154852.015016, 307.999994418
0.0142909698997, 147985.336491, 303.953105227, 0.257947098505, 9.21600369453, 0.00655819854121, 150.784567516, 1.69606354931, 154881.011856, 307.999996197
0.0151237458194, 147802.47329, 303.825896404, 0.262064490394, 10.3557565148, -0.0592389738305, 152.586506869, 1.69467765241, 154909.323832, 307.999997933
0.0159565217391, 147574.407675, 303.702454688, 0.265933010918, 11.6538107201, -0.0237172651702, 153.863921151, 1.69274908881, 154882.702373, 307.999997847
0.0167892976589, 147335.02828, 303.581161335, 0.269695876931, 12.9872605474, 0.0411891691204, 154.983375837, 1.69067785049, 154840.2113, 307.999997228
0.0176220735786, 147099.082191, 303.461607636, 0.273404773929, 14.3015853318, 0.105164680996, 156.102830523, 1.68863631896, 154798.329657, 307.999996618
0.0184548494983, 146884.741851, 303.328779697, 0.277409749418, 15.8125236239, 0.0838387290855, 156.984351159, 1.68691377328, 154801.134967, 307.999997031
0.0192876254181, 146686.536738, 303.185801503, 0.281642057648, 17.4733950057, -0.00196794895337, 157.682935076, 1.68543073911, 154837.712355, 307.999998217
0.0201204013378, 146490.080098, 303.044084597, 0.28583703043, 19.1196149555, -0.0870176805304, 158.381518992, 1.68396078758, 154873.967075, 307.999999392
0.0209531772575, 146295.348896, 302.90361236, 0.289995159629, 20.7513764939, -0.171320437803, 159.080102909, 1.68250374632, 154909.903376, 308.000000557
0.0217859531773, 145952.678851, 302.712675063, 0.29534602393, 22.6326615008, -0.12990429746, 159.248581739, 1.67961616033, 154873.030233, 307.999999479
0.022618729097, 145602.978214, 302.519450081, 0.30074970556, 24.5238580694, -0.0821404443333, 159.389861956, 1.67665995338, 154832.500093, 307.999998289
0.0234515050167, 145253.896964, 302.326567338, 0.306143816227, 26.411704964, -0.0344611902057, 159.531142172, 1.67370898245, 154792.041741, 307.9999971
0.0242842809365, 144899.693552, 302.124731754, 0.31168981388, 28.3326840841, -0.0051909878385, 159.42133528, 1.67074454541, 154760.216548, 307.999996372
0.0251170568562, 144527.262192, 301.895542235, 0.31772279074, 30.3675716871, -0.0273687536996, 158.608960453, 1.66771023035, 154752.323089, 307.99999693
0.0259498327759, 144150.9961, 301.663992869, 0.323817886037, 32.4234114731, -0.0497748725207, 157.796585626, 1.66464467252, 154744.348355, 307.999997493
0.0267826086957, 143770.835742, 301.430047023, 0.329976064135, 34.5005287172, -0.0724128894008, 156.9842108, 1.6615473869, 154736.291085, 307.999998062
0.0276153846154, 143267.028622, 301.142836536, 0.337144104766, 36.5063710888, -0.0196466174502, 155.636017365, 1.65729548235, 154680.06056, 307.999999051
0.0284481605351, 142741.851531, 300.845243977, 0.344537857394, 38.5383828819, 0.0418865678525, 154.233076333, 1.65285161132, 154617.851689, 308.000000101
0.0292809364548, 142206.779525, 300.541626591, 0.352072634687, 40.6038704676, 0.103352458999, 152.818573266, 1.64832576718, 154555.013764, 308.000001153
0.0301137123746, 141647.256791, 300.203615177, 0.360036100527, 42.5275580944, 0.107389515202, 150.843403305, 1.64367925939, 154515.971207, 308.000001434
0.0309464882943, 141072.886664, 299.856634355, 0.368210883423, 44.5022923404, 0.111533697982, 148.868233345, 1.63890945274, 154475.892623, 308.000001722
0.031779264214, 140452.721219, 299.489793987, 0.376631619908, 46.3638436846, 0.147621805297, 146.762093274, 1.63369967074, 154414.165542, 308.000001248
0.0326120401338, 139789.261458, 299.103403458, 0.385325181819, 48.1452702199, 0.210769699892, 144.550759014, 1.62807986778, 154333.804844, 308.000000132
0.0334448160535, 139131.5829, 298.715551057, 0.393917398765, 49.8863429131, 0.260838556849, 142.15354884, 1.62252389997, 154258.713557, 307.999997536
0.0342775919732, 138487.156371, 298.328461763, 0.402299110549, 51.5560699531, 0.291601317952, 139.500562245, 1.61710159347, 154191.808221, 307.999992817
0.035110367893, 137824.09702, 297.928604475, 0.410805952617, 53.1021126964, 0.32272492398, 136.994616706, 1.61151619877, 154121.054466, 307.999994645
0.0359431438127, 137142.213873, 297.516075267, 0.419456088705, 54.5479690087, 0.35428920418, 134.608702768, 1.60576695289, 154046.688488, 308.000002125
0.0367759197324, 136474.471495, 297.120044779, 0.427566054538, 55.8328609243, 0.418924807288, 132.22975479, 1.6000728802, 153954.037647, 307.999999642
0.0376086956522, 135815.208153, 296.721533078, 0.435632437194, 57.058111031, 0.460793799973, 129.926359126, 1.59448095048, 153871.780926, 307.999998827
0.0384414715719, 135181.530875, 296.322372421, 0.443594801867, 58.1912496154, 0.451067456254, 127.753707516, 1.58917897006, 153815.25518, 308.000003765
0.0392742474916, 134573.892298, 295.974849728, 0.450399127168, 59.2627875233, 0.566669844046, 125.240011013, 1.58388897102, 153697.394628, 307.999996619
