z, massflux, p, T, rho, M, alpha, dS, P_tot, T_tot
-0.0340100334448, 83.8171880032, 152968.04135, 306.837173634, 1.73669309208, 0.137438665172, -1.44888866409e-05, -0.00240788975628, 154990.676776, 307.996369658
-0.0331772575251, 83.8171818314, 152968.050255, 306.837183857, 1.73669312975, 0.137438810383, -2.70778590758e-05, -0.00239105959682, 154990.691422, 307.996383182
-0.0323444816054, 83.8171803416, 152968.054511, 306.837193432, 1.73669314098, 0.137439007852, -1.37699258012e-05, -0.00236761394518, 154990.703368, 307.996397202
-0.0315117056856, 83.8171719521, 152968.059686, 306.837201061, 1.73669314024, 0.137439250578, -6.23718085643e-06, -0.00235224388899, 154990.718084, 307.996410357
-0.0306789297659, 83.8171713205, 152968.060475, 306.837207853, 1.73669310254, 0.1374395805, -2.24399598617e-05, -0.00233135702291, 154990.73156, 307.996424518
-0.0298461538462, 83.8171605598, 152968.054368, 306.837210956, 1.73669304194, 0.137439987038, -3.46909857631e-05, -0.00230957947182, 154990.741169, 307.99643676
-0.0290133779264, 83.8171613513, 152968.048503, 306.837212652, 1.73669293925, 0.13744052731, -2.71571125795e-05, -0.00229281684604, 154990.756016, 307.996450513
-0.0281806020067, 83.8171477553, 152968.035415, 306.837210289, 1.7366928186, 0.137441194243, -2.4302448123e-05, -0.00227574099529, 154990.768569, 307.996463072
-0.027347826087, 83.8171511479, 152968.015952, 306.837202846, 1.73669262588, 0.137442074019, -3.40476945425e-05, -0.00226326581435, 154990.782704, 307.996475202
-0.0265150501672, 83.817136993, 152967.984582, 306.837192953, 1.73669233973, 0.13744316753, -4.20396708787e-05, -0.00223638588141, 154990.793207, 307.996489736
-0.0256822742475, 83.8171341864, 152967.941073, 306.837174413, 1.73669193995, 0.137444581178, -4.53526615284e-05, -0.00221493500787, 154990.803554, 307.99650263
-0.0248494983278, 83.8171339944, 152967.884408, 306.837146511, 1.73669146347, 0.13744638, -3.24232108391e-05, -0.00219931872444, 154990.815409, 307.996514697
-0.024016722408, 83.8171021118, 152967.814532, 306.837109063, 1.73669088256, 0.137448606802, -2.47260291808e-05, -0.00219000105098, 154990.830839, 307.996527009
-0.0231839464883, 83.8171220764, 152967.71381, 306.837056582, 1.73669001751, 0.137451534816, -4.68419934275e-05, -0.00217180527157, 154990.841266, 307.996539418
