X, P, T, M, alpha, eta, rhou_x, Vx, P_tot, T_tot
0.0227759197324, 145554.431574, 302.416377958, 0.303449243153, 25.4421940444, -0.327749385139, 158.981091958, 94.8308222668, 154956.026338, 308.000004784
0.0236120401338, 145256.333077, 302.230773548, 0.308612747002, 27.3949175604, -0.356566376326, 158.893134318, 94.9144059417, 154957.213951, 308.000003187
0.0244481605351, 144957.904364, 302.044963536, 0.313781970685, 29.3498041918, -0.385415289325, 158.805176677, 94.9980822057, 154958.40288, 308.000001587
0.0252842809365, 144567.042194, 301.816908273, 0.319788653601, 31.3269505638, -0.367250139511, 158.133878343, 94.7897585947, 154928.721155, 308.000001869
0.0261204013378, 144090.527007, 301.549172303, 0.326598022261, 33.3450846014, -0.307472840164, 156.954970461, 94.3219532352, 154871.52384, 308.000003812
0.0269565217391, 143606.799319, 301.277383901, 0.333510457057, 35.3937649769, -0.246790755727, 155.77606258, 93.847067206, 154813.460791, 308.000005783
0.0277926421405, 143115.69413, 301.001450357, 0.340528315835, 37.4736904997, -0.185183187406, 154.597154699, 93.3649385223, 154754.512202, 308.000007785
0.0286287625418, 142617.041366, 300.721276115, 0.347654028916, 39.5855814587, -0.122628800185, 153.418246818, 92.8754002206, 154694.657659, 308.000009817
0.0294648829431, 142035.865631, 300.387153844, 0.355583795269, 41.4169033141, -0.0631627073343, 151.856225311, 92.2210270901, 154626.574322, 308.000009542
0.0303010033445, 141424.096659, 300.033840392, 0.363851661689, 43.2114149024, -0.00340794817294, 150.202483495, 91.5144860357, 154555.261543, 308.000008693
0.0311371237458, 140798.706461, 299.672660306, 0.372303614708, 45.0458818456, 0.0576772691641, 148.548741679, 90.7922136263, 154482.360963, 308.000007825
0.0319732441472, 140161.36819, 299.304347219, 0.380879158747, 46.8953952755, 0.120320500297, 146.836913852, 90.0246413889, 154407.364832, 308.000007015
0.0328093645485, 139530.565769, 298.937125838, 0.388929517686, 48.4950945469, 0.186833962433, 144.467944755, 88.901364079, 154325.026366, 308.00000707
0.0336454849498, 138878.730804, 298.557660371, 0.397248295892, 50.1481318261, 0.25556515113, 142.098975657, 87.740633871, 154239.942528, 308.000007128
0.0344816053512, 138210.644861, 298.167512856, 0.405772557461, 51.8315085166, 0.322766242798, 139.711618979, 86.5357988756, 154153.950597, 308.000007222
0.0353177257525, 137592.296951, 297.790802227, 0.413637753866, 53.2506282929, 0.343516739923, 137.095735161, 85.2268634387, 154089.862296, 308.000007756
0.0361538461538, 136949.893002, 297.399436149, 0.421808935737, 54.7249571197, 0.365074508757, 134.479851343, 83.8670055329, 154023.280722, 308.000008311
0.0369899665552, 136316.232387, 297.026309457, 0.429455098952, 56.0760474565, 0.436016305697, 131.793159777, 82.4739807736, 153930.663141, 308.000007891
0.0378260869565, 135683.287197, 296.664487059, 0.436743868957, 57.3386575324, 0.548746703678, 129.051057059, 81.0389765444, 153815.442938, 308.000006656
0.0386622073579, 135065.103055, 296.291820723, 0.444165572967, 58.490419211, 0.596309147624, 126.67980839, 79.7935714173, 153732.043283, 308.0000058
0.0394983277592, 134493.552443, 295.914487458, 0.45154236948, 59.4169115618, 0.533967518016, 124.892065828, 78.907541103, 153704.461863, 308.000005603
0.0403344481605, 133938.033133, 295.56421116, 0.45832643437, 60.3655470847, 0.532871157191, 122.751191203, 77.7945084807, 153647.357749, 308.000004653
0.0411705685619, 133397.360933, 295.242756654, 0.464473406935, 61.3456858722, 0.602088563455, 120.225514322, 76.4137033084, 153555.99025, 308.000002831
0.0420066889632, 133240.144423, 295.209173951, 0.465140075644, 62.8073458866, 0.825236244249, 114.357064782, 72.9102128217, 153431.475678, 308.000002323
0.0428428093645, 133284.562819, 295.2990207, 0.463450814293, 64.4283976311, 1.03428948975, 107.816289575, 68.6260412713, 153335.430954, 308.000002701
0.0436789297659, 133667.110595, 295.499282457, 0.459625185249, 65.5636664934, 0.891571768191, 102.709704212, 65.2397104209, 153445.561291, 308.000005051
0.0445150501672, 133806.332489, 295.554949408, 0.458553742792, 65.9084505961, 0.782212157989, 101.278207286, 64.2332366662, 153513.324935, 308.00000643
0.0453511705686, 133823.702561, 295.555945589, 0.458525757578, 65.9488439549, 0.749026259605, 101.13301566, 64.1387312312, 153531.088354, 308.000002965
0.0461872909699, 133758.063044, 295.542980173, 0.458767698651, 65.902792094, 0.845796712244, 101.327477234, 64.2963010704, 153477.000737, 307.99999032
0.0470234113712, 133710.804542, 295.533157769, 0.45894954222, 65.8723768984, 0.913924267778, 101.459753137, 64.4061052558, 153438.778993, 307.99998629
0.0478595317726, 133747.641848, 295.537683749, 0.458856923007, 65.9136779127, 0.85090713682, 101.304155946, 64.2971405508, 153473.19218, 308.000022003
0.0486956521739, 133782.802424, 295.541869356, 0.458770823005, 65.9532456966, 0.790312176922, 101.156089485, 64.1934261887, 153506.250673, 308.000056972
0.0495317725753, 133752.646412, 295.533126685, 0.458933005846, 65.924934844, 0.825170769522, 101.283203666, 64.293522063, 153486.016201, 308.000060785
0.0503678929766, 133722.565999, 295.524405931, 0.459094782106, 65.8966949646, 0.859941974141, 101.410317847, 64.3933670042, 153465.832455, 308.000064588
0.0512040133779, 133728.224665, 295.526235633, 0.459049713146, 65.9156395428, 0.854565779511, 101.329021425, 64.3442789297, 153468.423586, 307.999715826
0.0520401337793, 133738.975483, 295.529568937, 0.458975144815, 65.9413329056, 0.843471540883, 101.218123842, 64.273913146, 153474.257424, 307.999316168
0.0528762541806, 133736.784301, 295.525041579, 0.459074499228, 65.9346630658, 0.832685259223, 101.263685839, 64.3089327822, 153480.672068, 308.000282465
0.0537123745819, 133729.682156, 295.517538825, 0.459239688285, 65.9157154639, 0.822040946234, 101.368702537, 64.383902105, 153487.292471, 308.001765384
