z	mom_ax	p	T	p_tot	T_tot	dS	alpha
   +3.431438e-03	   +1.188916e+02	   +1.507559e+05	   +3.056130e+02	   +1.548767e+05	   +3.080000e+02	   +1.541954e-01	   -5.626497e-01
   +4.665552e-03	   +1.230375e+02	   +1.504875e+05	   +3.054363e+02	   +1.549085e+05	   +3.080000e+02	   +8.374148e-02	   -9.508921e-01
   +5.899666e-03	   +1.275369e+02	   +1.503246e+05	   +3.052419e+02	   +1.550782e+05	   +3.080000e+02	   -2.442583e-01	   -1.467251e+00
   +7.133779e-03	   +1.325136e+02	   +1.496759e+05	   +3.049994e+02	   +1.548293e+05	   +3.080000e+02	   +1.987041e-01	   -2.152142e+00
   +8.367893e-03	   +1.363485e+02	   +1.494020e+05	   +3.048108e+02	   +1.548730e+05	   +3.080000e+02	   +1.023579e-01	   -3.067104e+00
   +9.602007e-03	   +1.397372e+02	   +1.492682e+05	   +3.046459e+02	   +1.550201e+05	   +3.080000e+02	   -1.840541e-01	   -4.042301e+00
   +1.083612e-02	   +1.427422e+02	   +1.488699e+05	   +3.044664e+02	   +1.549163e+05	   +3.080000e+02	   -8.181708e-03	   -5.193624e+00
   +1.207023e-02	   +1.457155e+02	   +1.484660e+05	   +3.042925e+02	   +1.547969e+05	   +3.080000e+02	   +1.968973e-01	   -6.315754e+00
   +1.330435e-02	   +1.482897e+02	   +1.482068e+05	   +3.041202e+02	   +1.548239e+05	   +3.080000e+02	   +1.295355e-01	   -7.741560e+00
   +1.453846e-02	   +1.507163e+02	   +1.480029e+05	   +3.039518e+02	   +1.549016e+05	   +3.080000e+02	   -3.193137e-02	   -9.247138e+00
   +1.577258e-02	   +1.531430e+02	   +1.478055e+05	   +3.037887e+02	   +1.549768e+05	   +3.080000e+02	   -1.882811e-01	   -1.070500e+01
   +1.700669e-02	   +1.548855e+02	   +1.474296e+05	   +3.035620e+02	   +1.549717e+05	   +3.080000e+02	   -2.058137e-01	   -1.316498e+01
   +1.824080e-02	   +1.565865e+02	   +1.470509e+05	   +3.033361e+02	   +1.549619e+05	   +3.080000e+02	   -2.149088e-01	   -1.563385e+01
   +1.947492e-02	   +1.582876e+02	   +1.466803e+05	   +3.031150e+02	   +1.549524e+05	   +3.080000e+02	   -2.238084e-01	   -1.804964e+01
   +2.070903e-02	   +1.592061e+02	   +1.462854e+05	   +3.028741e+02	   +1.549488e+05	   +3.080000e+02	   -2.487089e-01	   -2.063868e+01
   +2.194314e-02	   +1.590742e+02	   +1.458492e+05	   +3.026011e+02	   +1.549528e+05	   +3.080000e+02	   -2.953434e-01	   -2.351815e+01
   +2.317726e-02	   +1.589423e+02	   +1.454122e+05	   +3.023276e+02	   +1.549569e+05	   +3.080000e+02	   -3.420554e-01	   -2.640240e+01
   +2.441137e-02	   +1.588104e+02	   +1.449744e+05	   +3.020538e+02	   +1.549610e+05	   +3.080000e+02	   -3.888449e-01	   -2.929144e+01
   +2.564548e-02	   +1.576263e+02	   +1.443650e+05	   +3.017020e+02	   +1.549067e+05	   +3.080000e+02	   -3.463347e-01	   -3.222770e+01
   +2.687960e-02	   +1.558879e+02	   +1.436525e+05	   +3.013022e+02	   +1.548203e+05	   +3.080000e+02	   -2.550979e-01	   -3.524175e+01
   +2.811371e-02	   +1.541494e+02	   +1.429238e+05	   +3.008934e+02	   +1.547318e+05	   +3.080000e+02	   -1.618032e-01	   -3.832378e+01
   +2.934783e-02	   +1.520931e+02	   +1.421185e+05	   +3.004347e+02	   +1.546364e+05	   +3.080000e+02	   -7.169004e-02	   -4.121595e+01
   +3.058194e-02	   +1.496511e+02	   +1.412146e+05	   +2.999121e+02	   +1.545321e+05	   +3.080000e+02	   +1.456975e-02	   -4.387352e+01
   +3.181605e-02	   +1.472091e+02	   +1.402807e+05	   +2.993721e+02	   +1.544243e+05	   +3.080000e+02	   +1.036914e-01	   -4.661926e+01
   +3.305017e-02	   +1.437885e+02	   +1.393450e+05	   +2.988279e+02	   +1.543028e+05	   +3.080000e+02	   +2.024832e-01	   -4.902111e+01
   +3.428428e-02	   +1.402914e+02	   +1.383656e+05	   +2.982580e+02	   +1.541745e+05	   +3.080000e+02	   +3.066826e-01	   -5.150627e+01
   +3.551839e-02	   +1.364703e+02	   +1.374401e+05	   +2.976972e+02	   +1.540755e+05	   +3.080000e+02	   +3.457247e-01	   -5.365886e+01
   +3.675251e-02	   +1.325746e+02	   +1.364911e+05	   +2.971253e+02	   +1.539641e+05	   +3.080000e+02	   +4.016259e-01	   -5.578857e+01
   +3.798662e-02	   +1.285281e+02	   +1.355589e+05	   +2.965919e+02	   +1.537952e+05	   +3.080000e+02	   +5.660798e-01	   -5.765094e+01
   +3.922074e-02	   +1.254870e+02	   +1.346841e+05	   +2.960402e+02	   +1.537138e+05	   +3.080000e+02	   +5.545707e-01	   -5.917101e+01
   +4.045485e-02	   +1.223901e+02	   +1.338600e+05	   +2.955183e+02	   +1.536334e+05	   +3.080000e+02	   +5.444956e-01	   -6.056941e+01
   +4.168896e-02	   +1.169876e+02	   +1.332533e+05	   +2.951854e+02	   +1.534854e+05	   +3.080000e+02	   +7.163096e-01	   -6.225149e+01
   +4.292308e-02	   +1.073240e+02	   +1.333217e+05	   +2.953162e+02	   +1.533499e+05	   +3.080000e+02	   +1.012678e+00	   -6.460505e+01
   +4.415719e-02	   +1.014148e+02	   +1.337807e+05	   +2.955507e+02	   +1.534911e+05	   +3.080000e+02	   +8.225594e-01	   -6.594453e+01
   +4.539130e-02	   +1.011439e+02	   +1.338192e+05	   +2.955547e+02	   +1.535280e+05	   +3.080000e+02	   +7.543322e-01	   -6.601821e+01
   +4.662542e-02	   +1.014351e+02	   +1.337244e+05	   +2.955354e+02	   +1.534507e+05	   +3.080000e+02	   +8.923585e-01	   -6.594969e+01
   +4.785953e-02	   +1.013046e+02	   +1.337478e+05	   +2.955371e+02	   +1.534742e+05	   +3.080000e+02	   +8.488384e-01	   -6.598565e+01
