"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
18,	+2.5001843722063616e-01,	+0.0000000000000000e+00,	+1.3200829889190846e-01,	0.1818181818181818
19,	+2.5001841906289923e-01,	+0.0000000000000000e+00,	+1.3245089908538241e-01,	0.1919191919191919
20,	+2.5001840090516231e-01,	+0.0000000000000000e+00,	+1.3289349927885633e-01,	0.2020202020202020
21,	+2.5001838274742538e-01,	+0.0000000000000000e+00,	+1.3333609947233027e-01,	0.2121212121212121
22,	+2.5001836458968846e-01,	+0.0000000000000000e+00,	+1.3377869966580422e-01,	0.2222222222222222
23,	+2.5001834643195153e-01,	+0.0000000000000000e+00,	+1.3422129985927814e-01,	0.2323232323232323
24,	+2.5001832827421461e-01,	+0.0000000000000000e+00,	+1.3466390005275208e-01,	0.2424242424242424
25,	+2.5001830557702526e-01,	+0.0000000000000000e+00,	+1.3521715073733526e-01,	0.2525252525252525
26,	+2.5001826926147874e-01,	+0.0000000000000000e+00,	+1.3610235289524614e-01,	0.2626262626262627
27,	+2.5001823294593223e-01,	+0.0000000000000000e+00,	+1.3698755505315702e-01,	0.2727272727272728
28,	+2.5001819663038571e-01,	+0.0000000000000000e+00,	+1.3787275721106787e-01,	0.2828282828282829
29,	+2.5001816031483920e-01,	+0.0000000000000000e+00,	+1.3875795936897875e-01,	0.2929292929292929
30,	+2.5001812399929274e-01,	+0.0000000000000000e+00,	+1.3964316152688963e-01,	0.3030303030303030
31,	+2.5001808768374623e-01,	+0.0000000000000000e+00,	+1.4052836368480051e-01,	0.3131313131313131
32,	+2.5001805136819966e-01,	+0.0000000000000000e+00,	+1.4141356584271139e-01,	0.3232323232323233
33,	+2.5001801505265320e-01,	+0.0000000000000000e+00,	+1.4229876800062224e-01,	0.3333333333333334
34,	+2.5001797873710663e-01,	+0.0000000000000000e+00,	+1.4318397015853312e-01,	0.3434343434343435
35,	+2.5001794242156017e-01,	+0.0000000000000000e+00,	+1.4406917231644401e-01,	0.3535353535353536
