"Point",	"x_coord",	"y_coord",	"z_coord",	"u"
59,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6531402410630502e-01,	0.5959595959595960
60,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6619922626421588e-01,	0.6060606060606061
61,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6708442842212676e-01,	0.6161616161616162
62,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6796963058003761e-01,	0.6262626262626263
63,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6885483273794849e-01,	0.6363636363636365
64,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.6974003489585937e-01,	0.6464646464646465
65,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7062523705377025e-01,	0.6565656565656566
66,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7151043921168113e-01,	0.6666666666666667
67,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7239564136959201e-01,	0.6767676767676768
68,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7328084352750289e-01,	0.6868686868686870
69,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7416604568541375e-01,	0.6969696969696970
70,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7505124784332463e-01,	0.7070707070707072
71,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7593645000123551e-01,	0.7171717171717172
72,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7682165215914639e-01,	0.7272727272727273
73,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7770685431705724e-01,	0.7373737373737375
74,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7859205647496812e-01,	0.7474747474747475
75,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7914530715983065e-01,	0.7575757575757577
76,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.7958790735367705e-01,	0.7676767676767677
77,	+3.2501293087956606e-01,	+0.0000000000000000e+00,	+1.8003050754752345e-01,	0.7777777777777778
