"Point",	"x_coord",	"y_coord",	"z_coord",	"u",	"v"
22,	+2.4968405209104791e-01,	-1.2913981126366630e-02,	+1.6527808591882429e-01,	0.7586155172413794,	0.0000100000000000
23,	+2.4986147149898688e-01,	-8.8431512578663017e-03,	+1.6262203469447720e-01,	0.7930975862068966,	0.0000100000000000
24,	+2.4996511016035905e-01,	-5.1453219729318597e-03,	+1.5939800526718390e-01,	0.8275796551724138,	0.0000100000000000
25,	+2.5000907327271799e-01,	-2.1384801501785609e-03,	+1.5546454841128229e-01,	0.8620617241379311,	0.0000100000000000
26,	+2.5001826005280348e-01,	-2.7616531514658053e-04,	+1.5084253615391896e-01,	0.8965437931034483,	0.0000100000000000
27,	+2.5001857210408091e-01,	-1.7923047139313666e-04,	+1.4539017422530670e-01,	0.9310258620689656,	0.0000100000000000
28,	+2.5000563520958463e-01,	-2.5749664491963174e-03,	+1.3879025020836641e-01,	0.9655079310344828,	0.0000100000000000
29,	+2.4993988833390973e-01,	-6.2916349360706159e-03,	+1.3499593328549434e-01,	0.9999900000000000,	0.0000100000000000
30,	+2.5252662058215675e-01,	-6.2935685074839197e-03,	+1.3499591380544831e-01,	0.0000100000000000,	0.0344920689655173
31,	+2.5243312191198264e-01,	-9.3145424959158434e-03,	+1.3784746016061025e-01,	0.0344920689655173,	0.0344920689655173
32,	+2.5233552308420781e-01,	-1.1659034622937388e-02,	+1.4255527558365763e-01,	0.0689741379310345,	0.0344920689655173
33,	+2.5226237120380873e-01,	-1.3144411393526701e-02,	+1.4611235458343588e-01,	0.1034562068965517,	0.0344920689655173
34,	+2.5219014564068609e-01,	-1.4461996410587376e-02,	+1.4916116634998497e-01,	0.1379382758620690,	0.0344920689655173
35,	+2.5210114772046693e-01,	-1.5936508636674222e-02,	+1.5208392494473635e-01,	0.1724203448275863,	0.0344920689655173
36,	+2.5198466312934259e-01,	-1.7681356327042229e-02,	+1.5499140419156959e-01,	0.2069024137931035,	0.0344920689655173
37,	+2.5182739568124429e-01,	-1.9794000851114834e-02,	+1.5793365152677424e-01,	0.2413844827586207,	0.0344920689655173
38,	+2.5161288304329776e-01,	-2.2354775533827129e-02,	+1.6089758119651770e-01,	0.2758665517241380,	0.0344920689655173
39,	+2.5132166244299392e-01,	-2.5419360790811800e-02,	+1.6382658409973741e-01,	0.3103486206896552,	0.0344920689655173
40,	+2.5093482381391174e-01,	-2.8989310177508856e-02,	+1.6668026692048127e-01,	0.3448306896551725,	0.0344920689655173
