#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   -7.227227e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.429412e-09	   +2.354824e-01	   +9.862243e+01
   -7.204204e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.444058e-09	   +2.354824e-01	   +9.862241e+01
   -7.181181e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.451771e-09	   +2.354824e-01	   +9.862240e+01
   -7.158158e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.452549e-09	   +2.354824e-01	   +9.862238e+01
   -7.135135e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.446392e-09	   +2.354823e-01	   +9.862237e+01
   -7.112112e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.433301e-09	   +2.354823e-01	   +9.862236e+01
   -7.089089e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.413276e-09	   +2.354823e-01	   +9.862234e+01
   -7.066066e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.386317e-09	   +2.354823e-01	   +9.862233e+01
   -7.043043e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.352422e-09	   +2.354822e-01	   +9.862231e+01
   -7.020020e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.311595e-09	   +2.354822e-01	   +9.862230e+01
   -6.996997e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.287014e-09	   +2.354822e-01	   +9.862229e+01
   -6.973974e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.452056e-09	   +2.354822e-01	   +9.862231e+01
   -6.950951e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.612644e-09	   +2.354823e-01	   +9.862233e+01
   -6.927928e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.768777e-09	   +2.354823e-01	   +9.862235e+01
   -6.904905e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +2.920456e-09	   +2.354824e-01	   +9.862238e+01
   -6.881882e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +3.067681e-09	   +2.354824e-01	   +9.862240e+01
   -6.858859e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +3.210452e-09	   +2.354824e-01	   +9.862242e+01
   -6.835836e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +3.348768e-09	   +2.354825e-01	   +9.862244e+01
   -6.812813e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +3.482631e-09	   +2.354825e-01	   +9.862246e+01
   -6.789790e-02	   +1.013366e+05	   +2.855333e+02	   +1.052701e+05	   +2.886990e+02	   -5.901350e+03	   +3.612039e-09	   +2.354826e-01	   +9.862248e+01
   -6.766767e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +3.736994e-09	   +2.354826e-01	   +9.862250e+01
   -6.743744e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +3.857496e-09	   +2.354826e-01	   +9.862252e+01
   -6.720721e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +3.973544e-09	   +2.354827e-01	   +9.862255e+01
   -6.697698e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.085138e-09	   +2.354827e-01	   +9.862257e+01
   -6.674675e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.192279e-09	   +2.354828e-01	   +9.862259e+01
   -6.651652e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.294966e-09	   +2.354828e-01	   +9.862261e+01
   -6.628629e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.393201e-09	   +2.354829e-01	   +9.862263e+01
   -6.605606e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.486982e-09	   +2.354829e-01	   +9.862265e+01
   -6.582583e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.576311e-09	   +2.354829e-01	   +9.862267e+01
   -6.559560e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.661187e-09	   +2.354830e-01	   +9.862269e+01
   -6.536537e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.741609e-09	   +2.354830e-01	   +9.862271e+01
   -6.513514e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +4.817579e-09	   +2.354831e-01	   +9.862273e+01
   -6.490490e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +4.889097e-09	   +2.354831e-01	   +9.862276e+01
   -6.467467e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +4.956162e-09	   +2.354831e-01	   +9.862278e+01
   -6.444444e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +5.018774e-09	   +2.354832e-01	   +9.862280e+01
   -6.421421e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +5.076934e-09	   +2.354832e-01	   +9.862282e+01
   -6.398398e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +5.130643e-09	   +2.354833e-01	   +9.862284e+01
   -6.375375e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +5.179899e-09	   +2.354833e-01	   +9.862286e+01
   -6.352352e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +5.224703e-09	   +2.354833e-01	   +9.862288e+01
   -6.329329e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.265055e-09	   +2.354834e-01	   +9.862290e+01
   -6.306306e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.300955e-09	   +2.354834e-01	   +9.862292e+01
   -6.283283e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.332403e-09	   +2.354835e-01	   +9.862294e+01
   -6.260260e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.359400e-09	   +2.354835e-01	   +9.862296e+01
   -6.237237e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.381946e-09	   +2.354835e-01	   +9.862298e+01
   -6.214214e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.400039e-09	   +2.354836e-01	   +9.862300e+01
   -6.191191e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.413682e-09	   +2.354836e-01	   +9.862302e+01
   -6.168168e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.432442e-09	   +2.354836e-01	   +9.862304e+01
   -6.145145e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.575061e-09	   +2.354836e-01	   +9.862302e+01
   -6.122122e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.709304e-09	   +2.354836e-01	   +9.862299e+01
   -6.099099e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.835173e-09	   +2.354835e-01	   +9.862297e+01
   -6.076076e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +5.952666e-09	   +2.354835e-01	   +9.862294e+01
   -6.053053e-02	   +1.013367e+05	   +2.855333e+02	   +1.052703e+05	   +2.886990e+02	   -5.901351e+03	   +6.061785e-09	   +2.354834e-01	   +9.862292e+01
   -6.030030e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +6.162529e-09	   +2.354834e-01	   +9.862289e+01
   -6.007007e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +6.254899e-09	   +2.354833e-01	   +9.862287e+01
   -5.983984e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +6.338895e-09	   +2.354833e-01	   +9.862284e+01
   -5.960961e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901351e+03	   +6.414516e-09	   +2.354833e-01	   +9.862282e+01
   -5.937938e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.481764e-09	   +2.354832e-01	   +9.862279e+01
   -5.914915e-02	   +1.013367e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.540638e-09	   +2.354832e-01	   +9.862277e+01
   -5.891892e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.591139e-09	   +2.354831e-01	   +9.862274e+01
   -5.868869e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.633266e-09	   +2.354831e-01	   +9.862272e+01
   -5.845846e-02	   +1.013366e+05	   +2.855333e+02	   +1.052702e+05	   +2.886990e+02	   -5.901350e+03	   +6.667020e-09	   +2.354830e-01	   +9.862269e+01
