#axial coordinate,	p,	T,	p_t,	T_t,	ds,	alpha,	Mach,	flux
   +9.615385e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.984899e-13	   +3.691644e-01	   +1.558230e+02
   +9.692308e-02	   +1.272611e+05	   +3.529775e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.978434e-13	   +3.691644e-01	   +1.558230e+02
   +9.769231e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.961276e-13	   +3.691644e-01	   +1.558230e+02
   +9.846154e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.944117e-13	   +3.691644e-01	   +1.558230e+02
   +9.923077e-02	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.926959e-13	   +3.691644e-01	   +1.558230e+02
   +1.000000e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.909801e-13	   +3.691644e-01	   +1.558230e+02
   +1.007692e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.892643e-13	   +3.691644e-01	   +1.558230e+02
   +1.015385e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.875485e-13	   +3.691644e-01	   +1.558230e+02
   +1.023077e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.858327e-13	   +3.691644e-01	   +1.558230e+02
   +1.030769e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.841168e-13	   +3.691644e-01	   +1.558230e+02
   +1.038462e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.824010e-13	   +3.691644e-01	   +1.558230e+02
   +1.046154e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.806852e-13	   +3.691644e-01	   +1.558230e+02
   +1.053846e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.789694e-13	   +3.691644e-01	   +1.558230e+02
   +1.061538e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.772536e-13	   +3.691644e-01	   +1.558230e+02
   +1.069231e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.755377e-13	   +3.691644e-01	   +1.558230e+02
   +1.076923e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.738219e-13	   +3.691644e-01	   +1.558230e+02
   +1.084615e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.721061e-13	   +3.691644e-01	   +1.558230e+02
   +1.092308e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.703903e-13	   +3.691644e-01	   +1.558230e+02
   +1.100000e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.686745e-13	   +3.691644e-01	   +1.558230e+02
   +1.107692e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.695817e-13	   +3.691644e-01	   +1.558230e+02
   +1.115385e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.708898e-13	   +3.691644e-01	   +1.558230e+02
   +1.123077e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.721980e-13	   +3.691644e-01	   +1.558230e+02
   +1.130769e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.735062e-13	   +3.691644e-01	   +1.558230e+02
   +1.138462e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.748144e-13	   +3.691644e-01	   +1.558230e+02
   +1.146154e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.761225e-13	   +3.691644e-01	   +1.558230e+02
   +1.153846e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.774307e-13	   +3.691644e-01	   +1.558230e+02
   +1.161538e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.787389e-13	   +3.691644e-01	   +1.558230e+02
   +1.169231e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.800471e-13	   +3.691644e-01	   +1.558230e+02
   +1.176923e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.813552e-13	   +3.691644e-01	   +1.558230e+02
   +1.184615e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.826634e-13	   +3.691644e-01	   +1.558230e+02
   +1.192308e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.839716e-13	   +3.691644e-01	   +1.558230e+02
   +1.200000e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.852797e-13	   +3.691644e-01	   +1.558230e+02
   +1.207692e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.865879e-13	   +3.691644e-01	   +1.558230e+02
   +1.215385e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.878961e-13	   +3.691644e-01	   +1.558230e+02
   +1.223077e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.892043e-13	   +3.691644e-01	   +1.558230e+02
   +1.230769e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.905124e-13	   +3.691644e-01	   +1.558230e+02
   +1.238462e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.918206e-13	   +3.691644e-01	   +1.558230e+02
   +1.246154e-01	   +1.272611e+05	   +3.529774e+02	   +1.109912e+05	   +2.886976e+02	   -5.917177e+03	   +2.931288e-13	   +3.691644e-01	   +1.558230e+02
